NM_MUNICIPIO,NR_ZONA,NR_SECAO,DS_CARGO,NM_VOTAVEL,QT_VOTOS
MAGE,110,553,DEPUTADO FEDERAL,MARCOS TAVARES,18
MAGE,148,77,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,15,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,148,43,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,110,523,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,148,234,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,116,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,221,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,110,476,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,148,178,DEPUTADO FEDERAL,MARCOS TAVARES,7
MAGE,148,237,DEPUTADO FEDERAL,MARCOS TAVARES,7
MAGE,148,80,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,110,1,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,227,DEPUTADO FEDERAL,MARCOS TAVARES,6
MAGE,110,286,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,148,5,DEPUTADO FEDERAL,MARCOS TAVARES,8
MAGE,110,309,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,148,95,DEPUTADO FEDERAL,MARCOS TAVARES,6
MAGE,148,136,DEPUTADO FEDERAL,MARCOS TAVARES,10
MAGE,110,373,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,148,76,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,220,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,110,514,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,166,DEPUTADO FEDERAL,MARCOS TAVARES,6
MAGE,148,238,DEPUTADO FEDERAL,MARCOS TAVARES,6
MAGE,148,30,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,10,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,36,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,148,218,DEPUTADO FEDERAL,MARCOS TAVARES,9
MAGE,148,280,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,482,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,110,433,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,110,111,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,148,70,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,148,98,DEPUTADO FEDERAL,MARCOS TAVARES,10
MAGE,148,116,DEPUTADO FEDERAL,MARCOS TAVARES,8
MAGE,148,266,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,148,66,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,110,513,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,110,231,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,452,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,44,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,110,558,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,211,DEPUTADO FEDERAL,MARCOS TAVARES,8
MAGE,110,27,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,110,393,DEPUTADO FEDERAL,MARCOS TAVARES,11
MAGE,148,179,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,148,97,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,110,43,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,148,48,DEPUTADO FEDERAL,MARCOS TAVARES,6
MAGE,148,102,DEPUTADO FEDERAL,MARCOS TAVARES,3
